Author,Title,Journal,Abstract,Publication Date,Publication Year,Volume,Issue,DOI,DOI Link
"Bae, Jang Won; Lee, Chun-Hee; Lee, Jeong-Woo; Choi, Seon Han",A data-driven agent-based simulation of the public bicycle-sharing system in Sejong city,SIMULATION MODELLING PRACTICE AND THEORY,"In this study, we propose a data-driven agent-based model for simulating Eoulling, the public bicycle-sharing systems (PBSSs) in Sejong City, the administrative capital of South Korea. Most existing models for PBSSs based on top-down approaches have limitations in reflecting Eoulling users' behavioral characteristics and analyzing their convenience. Unlike these, the proposed model is based on a bottom-up approach of agent-based simulation. We model each user as an agent to capture their bicycle rental and return behaviors, and analyze user convenience through interactions with bicycle station agent models. To improve model fidelity, multiple parameters for determining agent behaviors are extracted from the actual operations data of Eoulling, along with the population and geographic information of Sejong City. The validation results showed that the proposed model accurately describes the behavioral characteristics. We provide a workable solution addressing multiple concerns with Eoulling by evaluating its utilization and user convenience in virtual scenarios via model simulations.",JAN,2024,130,,10.1016/j.simpat.2023.102861,http://dx.doi.org/10.1016/j.simpat.2023.102861
"Meza, Abel; Ari, Ibrahim; Al Sada, Mohammed; Koc, Muammer",Relevance and potential of the Arctic Sea Routes on the LNG trade,ENERGY STRATEGY REVIEWS,"The retreat of the ice around the freezing waters of the Arctic Ocean is opening new waterways where shipping activity could transport commodities between continents. One of the essential products is natural gas - LNG, which is transported in large tankers from exporters to importers. This study aims to explore the dynamics of the LNG trade by using these new tentative routes with conventional sea lanes and estimating the changes in the LNG trade. We utilize Agent-Based Modeling to develop a global LNG model with interactive GIS features, where the agents are the players in the LNG market. The results demonstrate the preponderance of the North-East Passage (NEP, Eurasian Arctic waters) over the North-Western Passage (NWP, the Canadian Arctic) in providing a shortcut connecting Europe with Asia. This passage favors a growing exporter like Russia with exporting facilities in Siberia and future strategic projects to increase liquefaction capacity. The NEP becomes crucial when considering scenarios of a European ban on Russian imports, as European countries are planning due to the crisis with Russia. On the importing side, the Asian Pacific and South Asian importers are the winners with a diverse and shorter LNG supply source. Future Canadian projects may also benefit from these new highways. However, there are also substantial challenges to providing the NEP with the proper infrastructure and systems to make the Polar LNG journeys safe and sound shortly. Beyond that, the Arctic sea corridors may alleviate the high LNG transit through the conventional routes and their chokepoints, but they are not a replacement for the conventional ones, not even with the most favorable conditions.",NOV,2023,50,,10.1016/j.esr.2023.101174,http://dx.doi.org/10.1016/j.esr.2023.101174
"McGough, Aylin; Kavak, Hamdi; Mahabir, Ron",Is more always better? Unveiling the impact of contributor dynamics on collaborative mapping,COMPUTATIONAL AND MATHEMATICAL ORGANIZATION THEORY,"Open, collaborative mapping initiatives such as OpenStreetMap, a wiki-style map of the world, continually face concerns about the reliability and authority of its data. Based on harnessing the power of millions of volunteers globally, the data production process is decentralized and reflects a mosaic of individual contributors' skills, motivations, and experiences. Linus' Law, a widespread assumption within open-source communities, suggests that data quality increases with the number of contributors. In this paper, we evaluate Linus' Law as applied to the co-production of volunteered geographic information using an agent-based model and examine the effects of knowledge level, variability, and prioritization on emergent production patterns and overall data quality. Our results demonstrate how diminishing returns and the experience of contributors limit Linus' Law as an intrinsic assessment of data quality.",JUN,2024,30,2,10.1007/s10588-023-09383-6,http://dx.doi.org/10.1007/s10588-023-09383-6
"Cederman, Lars-Erik; Girardin, Luc",Computational approaches to conflict research from modeling and data to computational diplomacy,JOURNAL OF COMPUTATIONAL SCIENCE,"This paper offers an account of our own efforts to draw on computational methods to study conflict processes at the macro level. During a first phase, we relied on agent-based modeling in order to capture the complexity of system-level processes. This research yielded a number of publications, but less by way of influence on substantive research and policy making. Therefore, we decided to shift our main focus away from agent-based modeling to spatial computation, which allow for a more direct empirical validation of our results. This second phase of research includes the collection and integration of large amounts of spatiotemporally structured data, which we analyze with more conventional econometric tools. To advance the field of computational diplomacy, we recommend that future search combines agent-based modeling with rigorous empirical validation through the utilization of spatial computation.",SEP,2023,72,,10.1016/j.jocs.2023.102112,http://dx.doi.org/10.1016/j.jocs.2023.102112
"Shaharuddin, Raihanah Adawiyah; Misro, Md Yushalify",Controlling Traffic Congestion in Urbanised City: A Framework Using Agent-Based Modelling and Simulation Approach,ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION,"Urbanised city transportation simulation needs a wide range of factors to reflect the influence of certain real-life events accurately. The vehicle composition and the timing of the traffic light signal scheduling play an important role in controlling the traffic flow and facilitate road users, particularly in densely populated urban cities. Since road capacity in urban cities changes throughout the day, an optimal traffic light signal duration might be different. Hence, in this paper, the effect of vehicle composition and traffic light phases on traffic flow during peak and off-peak hours in Georgetown, Penang, one of the highly populated cities in Malaysia, is investigated. Through Agent-Based Modelling (ABM), this complex system is simulated by integrating the driver's behaviour into the model using the GIS and Agent-Based Modelling Architecture (GAMA) simulation platform. The result of predicted traffic flow varies significantly depending on the vehicle composition while the duration of the traffic signal timing has little impact on traffic flow during peak hours. However, during off-peak hour, it is suggested that 20 s duration of green light provides the highest flow compared to 30 s and 40 s duration of green light. This concludes that the planning for traffic light phasing should consider multiple factors since the vehicle composition and traffic light timing for an effective traffic flow varies according to the volume of road users.",JUN,2023,12,6,10.3390/ijgi12060226,http://dx.doi.org/10.3390/ijgi12060226
"Lai, Zhipeng; Li, Shaoying; Lin, Jinyao; Li, Haibo","Fine-scale simulation of spatial population distribution by coupling GA-ABM and big data: A case study of Dongguan, China",TRANSACTIONS IN GIS,"Capturing spatial population distribution can offer useful information for urban planning to promote reasonable population distribution and allocate urban resource. Agent-based model (ABM) based on the modeling idea of bottom-up can offer the ability to simulate the complex individual behaviors that generate spatial population distribution. Previous ABMs were unable to be extended for simulation of spatial population distribution at a fine scale due to the shortage of fine characterization of the urban environment and the calibration of agents' behavior. This study filled these gaps by proposing a genetic algorithm-ABM (GA-ABM) for fine-scale simulation of spatial population distribution in a manufacturing metropolis. In this model, the employment and residential choice behaviors of agents were defined by the labor economic theory and discrete selection model. Multisource geospatial big data such as enterprise points-of-interest big data and building footprints data were used to finely characterize the labor market and urban environment to reflect the impact of agents' employment choices on their residential decision. Furthermore, the grid-scale population investigation big data were combined with the GA to calibrate the agents' residential decision behaviors. The proposed model was used in Dongguan, the typical manufacturing metropolis in China. As a comparison, the expert-experience-based method-ABM (EEBM-ABM) was also conducted by using the same data set. Through the comparison of the results produced by these two models, it was demonstrated that the model coefficient calibrated by GA could effectively reflect the agents' residential decisions. The calibrated GA-ABM is more capable than EEBM-ABM in simulating spatial population distribution in a manufacturing metropolis. Hence, the proposed model can be used to simulate spatial population distribution in a manufacturing metropolis which helps the urban planner to conduct scientific urban planning.",JUN,2023,27,4,10.1111/tgis.13068,http://dx.doi.org/10.1111/tgis.13068
"Pais, Carlos M.; Godano, Matias I.; Juarez, Emanuel; del Prado, Abelardo; Manresa, Jose Biurrun; Rufiner, H. Leonardo",City-scale model for COVID-19 epidemiology with mobility and social activities represented by a set of hidden Markov models,COMPUTERS IN BIOLOGY AND MEDICINE,"Background and objective: SARS-CoV-2 emerged by the end of 2019 and became a global pandemic due to its rapid spread. Various outbreaks of the disease in different parts of the world have been studied, and epidemiological analyses of these outbreaks have been useful for developing models with the aim of tracking and predicting the spread of epidemics. In this paper, an agent-based model that predicts the local daily evolution of the number of people hospitalized in intensive care due to COVID-19 is presented. Methods: An agent-based model has been developed, taking into consideration the most relevant characteristics of the geography and climate of a mid-size city, its population and pathology statistics, and its social customs and mobility, including the state of public transportation. In addition to these inputs, the different phases of isolation and social distancing are also taken into account. By means of a set of hidden Markov models, the system captures and reproduces virus transmission associated with the stochastic nature of people's mobility and activities in the city. The spread of the virus in the host is also simulated by following the stages of the disease and by considering the existence of comorbidities and the proportion of asymptomatic carriers. Results: As a case study, the model was applied to Paran ' a city (Entre Rios, Argentina) in the second half of 2020. The model adequately predicts the daily evolution of people hospitalized in intensive care due to COVID-19. This adequacy is reflected by the fact that the prediction of the model (including its dispersion), as with the data reported in the field, never exceeded 90% of the capacity of beds installed in the city. In addition, other epidemiological variables of interest, with discrimination by age range, were also adequately reproduced, such as the number of deaths, reported cases, and asymptomatic individuals. Conclusions: The model can be used to predict the most likely evolution of the number of cases and hospital bed occupancy in the short term. By adjusting the model to match the data on hospitalizations in intensive care units and deaths due to COVID-19, it is possible to analyze the impact of isolation and social distancing measures on the disease spread dynamics. In addition, it allows for simulating combinations of characteristics that would lead to a potential collapse in the health system due to lack of infrastructure as well as predicting the impact of social events or increases in people's mobility.",JUN,2023,160,,10.1016/j.compbiomed.2023.106942,http://dx.doi.org/10.1016/j.compbiomed.2023.106942
"Wise, Sarah; Milusheva, Sveta; Ayling, Sophie; Smith, Robert Manning",Scale matters: Variations in spatial and temporal patterns of epidemic outbreaks in agent-based models,JOURNAL OF COMPUTATIONAL SCIENCE,"Agent-based modellers frequently make use of techniques to render simulated populations more computation-ally tractable on actionable timescales. Many generate a relatively small number of representativeagents, each of which is scaled upto represent some larger number of individuals involved in the system being studied. The degree to which this scalinghas implications for model forecasts is an underdeveloped field of study; in particular, there has been little known research on the spatial implications of such techniques. This work presents a case study of the impact of the simulated population size, using a model of the spread of COVID-19 among districts in Zimbabwe for the underlying system being studied. The impact of the relative scale of the population is explored in conjunction with the spatial setup, and crucial model parameters are varied to highlight where scaled down populations can be safely used and where modellers should be cautious. The results imply that in particular, different geographical dynamics of the spread of disease are associated with varying population sizes, with implications for researchers seeking to use scaled populations in their research. This article is an extension on work previously presented as part of the International Conference on Computational Science 2022 (Wise et al., 2022)[1].",MAY,2023,69,,10.1016/j.jocs.2023.101999,http://dx.doi.org/10.1016/j.jocs.2023.101999
"Houdroge, Farah; Palmer, Anna; Delport, Dominic; Walsh, Tom; Kelly, Sherrie L.; Hainsworth, Samuel W.; Abeysuriya, Romesh; Stuart, Robyn M.; Kerr, Cliff C.; Coplan, Paul; Wilson, David P.; Scott, Nick",Frequent and unpredictable changes in COVID-19 policies and restrictions reduce the accuracy of model forecasts,SCIENTIFIC REPORTS,"Between June and August 2020, an agent-based model was used to project rates of COVID-19 infection incidence and cases diagnosed as positive from 15 September to 31 October 2020 for 72 geographic settings. Five scenarios were modelled: a baseline scenario where no future changes were made to existing restrictions, and four scenarios representing small or moderate changes in restrictions at two intervals. Post hoc, upper and lower bounds for number of diagnosed Covid-19 cases were compared with actual data collected during the prediction window. A regression analysis with 17 covariates was performed to determine correlates of accurate projections. It was found that the actual data fell within the lower and upper bounds in 27 settings and out of bounds in 45 settings. The only statistically significant predictor of actual data within the predicted bounds was correct assumptions about future policy changes (OR 15.04; 95% CI 2.20-208.70; p = 0.016). Frequent changes in restrictions implemented by governments, which the modelling team was not always able to predict, in part explains why the majority of model projections were inaccurate compared with actual outcomes and supports revision of projections when policies are changed as well as the importance of modelling teams collaborating with policy experts.",25-Jan,2023,13,1,10.1038/s41598-023-27711-3,http://dx.doi.org/10.1038/s41598-023-27711-3
"Atkin-Willoughby, Jack; Hollick, Sam; Pritchard, Charlotte E.; Williams, A. Prysor; Davies, Peers L.; Jones, Dewi; Smith, Andrew R.",Microclimate Drives Shelter-Seeking Behaviour in Lambing Ewes,FORESTS,"Silvopastoral agroforestry and the strategic placement of trees and hedgerows offers potential to improve livestock welfare and production efficiency through the provision of shelter in livestock farming systems. The aim of this study was to investigate the relationship between shelter-seeking behaviour of ewes during the lambing period and the microclimate influenced by landscape shelter features. Artificial and natural shelter was provided to Aberfield ewes (n = 15) on an upland sheep farm in Wales, UK, which were then continuously monitored for 14 days using global positioning system tracking devices. Modelling of microclimate influenced by topographical shelter features at the test site was used to generate a 1 m resolution wind field for geospatial statistical analysis of localised wind speed. Ewes demonstrated an increased preference for natural (3.4-fold; p < 0.01) and artificial (3.0-fold; p < 0.05) shelter zones five times the height of the shelter, compared to the exposed area of the trial site. Wind-chill and modelled local-scale wind speeds were found to have the greatest influence on shelter-seeking behaviour, with temperature and field-scale wind speed significantly influencing livestock behaviour. Mean wind-chill temperature during the trial was 3.7 degrees C (min -5.3 degrees C; max 13.1 degrees C), which is within the cold stress temperature threshold (-3 and 8 degrees C) that requires thermoregulatory strategies such as shelter-seeking behaviour. An improved understanding of the relationship between microclimate and shelter-seeking behaviour in sheep, demonstrated through the agent-based model developed in this project, shall better inform the economic incentives (e.g., reduction in lamb mortality and forage requirements) behind silvopastoral practices that benefit farm productivity, livestock welfare and the environment.",DEC,2022,13,12,10.3390/f13122133,http://dx.doi.org/10.3390/f13122133
"Murata, Tadahiko; Iwase, Daiki; Harada, Takuya",Workplace Assignment to Workers in Synthetic Populations in Japan,IEEE TRANSACTIONS ON COMPUTATIONAL SOCIAL SYSTEMS,"In this article, we assign workplace attributes to each worker in each household in a synthetic population using multiple censuses conducted in Japan. The synthetic population is a set of artificial individual attributes for each resident that is synthesized according to census data. We have synthesized a set of the synthetic populations of Japan. We assign a workplace attribute to each worker to estimate daytime population distribution and develop activity-based models in agent-based or microsimulations. Although statistical information in a residential area or a working place is released by the government and some individual moving data are released by cellphone companies, it is hard to collect the information with home and workplace location of a worker with their family and working information. We employ origin-destination-industry (ODI) statistics to estimate workplaces for workers. Since some attributes in ODI statistics are not available for privacy reasons, we propose a workplace assignment method for all cities, towns, and villages using restricted ODI and OD statistics in Japan. We show how much difference there are between the number of workers using the complete ODI statistics and the number of workers by the proposed workplace assignment method. We show that 88.2% of workers in a city in Japan are assigned to correct cities as workplaces by our proposed method. We also show several maps of daytime population distributions by our proposed method. Synthetic populations with workplace attributes enable real-scale social simulations to design transport or business systems in times of peace or to estimate victims and plan recoveries in times of emergency, such as disasters or pandemics.",AUG,2023,10,4,10.1109/TCSS.2022.3217614,http://dx.doi.org/10.1109/TCSS.2022.3217614
"Yamada, Takashi",Generalizing the probability of reaching a destination in case of route blockage,PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS,"When road blockages occur owing to disasters or congestion, traffic is unable to pass, paralyzing urban functions. Though previous studies have analyzed road blockages in specific cities, a more general approach valid for a wide range of road networks is required. In this study, different blockage rates were applied to three square lattice sizes as well as square, triangular, and hexagonal lattice configurations to simulate an assortment of road network geometries, and agent-based modeling was applied to quantitatively evaluate the resulting arrival probabilities and travel times. The results did not change significantly with the blockage rate, regardless of lattice size. For the square lattice, the route from the starting point to the destination point was secured when the blockage rate was <= 30%, but the probability of not arriving at the destination point increased considerably when the blockage rate was >30% and reached an infinitesimally small value when the blockage rate was >60%. When fewer routes connected the lattice intersections, the destination was more likely to be unreachable, even for a low blockage rate. These results were then validated by percolation theory, demonstrating an effective basis for travel feasibility evaluations when an urban road network is blocked.(c) 2022 The Author(s). Published by Elsevier B.V. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/).",1-Dec,2022,607,,10.1016/j.physa.2022.128163,http://dx.doi.org/10.1016/j.physa.2022.128163
"Crouse, Kristin N.; Desai, Nisarg P.; Cassidy, Kira A.; Stahler, Erin E.; Lehman, Clarence L.; Wilson, Michael L.","Larger territories reduce mortality risk for chimpanzees, wolves, and agents: Multiple lines of evidence in a model validation framework",ECOLOGICAL MODELLING,"Validation of agent-based models is underappreciated in scientific studies even though this process is an important part of ensuring that a model is a reliable research tool. Here we propose modifications to a model validation framework and illustrate this framework with a case study of territorial behavior. In species that defend territories, larger territories provide obvious benefits, such as increased access to food, shelter, and mates. An additional potential benefit is that larger territories could provide protection from intergroup conflict. Considerations from geometry indicate that per capita risk of death from intergroup violence should decrease with increasing territory size, insofar as conflict occurs mainly at the periphery. We tested this inference using computer simulations and data from chimpanzees (Pan troglodytes) and gray wolves (Canis lupus). We designed an agent-based model that allows territories to vary freely in size and shape. We present a framework for model validation and apply it to our agent-based model to substantiate its accuracy. Simulations from the validated model confirmed the predictions from geometry. Under a broad range of parameter values, per capita mortality rate decreased in larger territories. Similarly, using published data on rates of death from intercommunity aggression in 16 chimpanzee communities, as well as new data from 38 wolf packs, we found that per capita mortality rate correlated negatively with a measure of territory size. These findings indicate that in species with lethal intergroup aggression, one simple aspect of territory geometry - size - has strong effects on mortality. Several lines of evidence indicate that the per capita rates of mortality from warfare have decreased in many human societies over time. One factor contributing to this decrease may be the increasing geographic extent of political entities.",SEP,2022,471,,10.1016/j.ecolmodel.2022.110063,http://dx.doi.org/10.1016/j.ecolmodel.2022.110063
"Beaudoin, Amanda; Isaac, Alan G.",Direct and indirect transmission of avian influenza: results from a calibrated agent-based model,JOURNAL OF ECONOMIC INTERACTION AND COORDINATION,"This paper develops an agent-based model of the spread of highly pathogenic avian influenza in a regional poultry sector. Spatially located flocks and flock owners interact with each other within a realistic regional geography. A specific regional poultry industry in Thailand shapes the model details: production practices that affect bio-containment, key transportation routes and methods, commercial and social networks, and an unusually detailed tabulation of flock types, flock owners, and human behaviors. Model simulations follow disease spread from an initial infection through both direct and indirect transmission pathways. This demonstrates how to realistically calibrate a model of disease spread to a regional poultry industry, while attending to the relative importance of different pathways. Despite its region-specific calibration, the model design facilitates easy adaptation to similar settings. This supports public policy by providing a modeling framework that may be used to simulate interventions to reduce or prevent the regional transmission of avian influenza.",JAN,2023,18,1,10.1007/s11403-022-00353-w,http://dx.doi.org/10.1007/s11403-022-00353-w
"Abel, Kelsey C.; Faust, Kasey M.",Modeling urban systems: Comparing the efficacy of simulated interventions on the urban food environment,SUSTAINABLE CITIES AND SOCIETY,"Inequitable access to food has negative effects on the health and quality of life of urban residents, especially in regions known as Food Deserts (FDs). Interventions to increase food access are inconsistently effective when applied to different regions in the U.S. This work seeks to answer two research questions: (1) can differences in interventions efficacy be explained by local demographic factors and geographies?; and (2) can multidimensional metrics be used to isolate what demographic factors drive food inaccessibility? Results indicate that the efficacy of interventions does depend on local demographic factors and infrastructure, especially bus service. Additionally, demographic factors can act either to increase or impede food access. After distance to the store, the presence of a child under 5 in the household was the most significant limiting factor to accessing healthy food. Conversely, a household size exceeding 4 members had the greatest positive impact on food access. These results show how the combination of simulation modeling and multi-dimensional metrics can inform decision makers about what demographic factors drive inaccessibility, and the interventions that would be most effective and sustainable.",MAR,2022,78,,10.1016/j.scs.2021.103627,http://dx.doi.org/10.1016/j.scs.2021.103627
"Majeau-Bettez, Guillaume; Frayret, Jean-Marc; Ramaswami, Anu; Li, Yang; Heeren, Niko",Data innovation in industrial ecology,JOURNAL OF INDUSTRIAL ECOLOGY,,FEB,2022,26,1,10.1111/jiec.13256,http://dx.doi.org/10.1111/jiec.13256
"Bioco, Joao; Canovas, Fernando; Prata, Paula; Fazendeiro, Paulo",SDSim: A generalized user friendly web ABM system to simulate spatiotemporal distribution of species under environmental scenarios,ENVIRONMENTAL MODELLING & SOFTWARE,This paper presents the Agent-Based Modelling System of spatial distribution of species SDSim. SDSim is an agent-based modelling system designed to simulate spatial distribution of species and populations for conservation and management purposes. SDSim gives to modellers the ability to simulate movements and colonization patterns of species given locations under study and a set of eco-geographical variables in which species depends on.,JAN,2022,147,,10.1016/j.envsoft.2021.105234,http://dx.doi.org/10.1016/j.envsoft.2021.105234
"Suminski, Richard R.; Dominick, Gregory M.; Wagner, Norman J.",A Direct Observation Video Method for Describing COVID-19 Transmission Factors on a Micro-Geographical Scale: Viral Transmission (VT)-Scan,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,"The COVID-19 pandemic severely affected many aspects of human life. While most health agencies agree mask wearing and physical distancing reduce viral transmission, efforts to improve the assessment of these behaviors are lacking. This study aimed to develop a direct observation video method [Viral Transmission (VT)-Scan] for assessing COVID-19 transmission behaviors and related factors (e.g., environmental setting). A wearable video device (WVD) was used to obtain videos of outdoor, public areas. The videos were examined to extract relevant information. All outcomes displayed good to excellent intra- and inter-reliability with intra-class correlation coefficients ranging from 0.836 to 0.997. The majority of people had a mask (60.8%) but 22.1% of them wore it improperly, 45.4% were not physical distancing, and 27.6% were simultaneously mask and physical distancing non-compliant. Transmission behaviors varied by demographics with white, obese males least likely to be mask-compliant and white, obese females least likely to physical distance. Certain environments (e.g., crosswalks) were identified as hot spots where higher rates of adverse transmission behaviors occurred. This study introduces a reliable method for obtaining objective data on COVID-19 transmission behaviors and related factors which may be useful for agent-based modeling and policy formation.",SEP,2021,18,17,10.3390/ijerph18179329,http://dx.doi.org/10.3390/ijerph18179329
"Tani, Almona; Lopolito, Antonio; Morone, Piergiuseppe",Spatial perspectives on niche empowerment: an agent-based model,REGIONAL STUDIES,"This paper aims at increasing our understanding of the role of space dimensions in niche evolution dynamics. To accomplish this goal, an agent-based model is developed, locating agents in geographical space. The model is then used to show how local niches built on geographical proximity perform differently from global niches built on relative proximity, in terms of the timing of niche creation, the velocity of niche maturation, average profit, environmental uncertainty and knowledge exchange. It concludes that the spatial dimension of niches should be considered in the development of policies to promote sustainable transitions.",3-Aug,2021,55,8,10.1080/00343404.2021.1893290,http://dx.doi.org/10.1080/00343404.2021.1893290
"Davis, Natalie; Polhill, J. Gareth; Aitkenhead, M. J.",Measuring heterogeneity in soil networks: a network analysis and simulation-based approach,ECOLOGICAL MODELLING,"Quantifying soil structural and ecological heterogeneity is crucial for understanding their interactions and their relationships to the resilience and health of the wider ecosystem. However, a clear understanding of how structural heterogeneity affects soil biodiversity is still emerging. Previous work has primarily used expensive, often laboratory-based methods to quantify soil pore network structure, and typically separated study of structural and biological dimensions. Here, we test whether standard network metrics can be used to quantify structural heterogeneity in soil pore networks, and how this network structure, along with characteristics of the consumer and resource populations, affects the heterogeneity of a population of consumers. Specifically, we extract simplified soil pore networks from digital photographs of soil profiles and apply established metrics from network science and transport geography to quantify and compare the networks. The networks are also used as the medium for an agent-based model of generalised consumers, to analyse the effects of consumer and resource parameterisations and network structure. Combining network analysis and simulation modelling in this way can provide insights on the structure, function, and diversity possible in the soil, as well as avenues for exploring the impact of future structural or environmental changes.",1-Jan,2021,439,,10.1016/j.ecolmodel.2020.109308,http://dx.doi.org/10.1016/j.ecolmodel.2020.109308
"Lou, Ping; Hu, Jiwei; Zhu, Cui; Yan, Junwei; Yuan, Liping",Cooperation Emergence of Manufacturing Services in Cloud Manufacturing With Agent-Based Modeling and Simulating,IEEE ACCESS,"With the development of information and network technology, a new type of manufacturing paradigm, known as a service-oriented Cloud Manufacturing (CMfg), is emerged. In the CMfg paradigm, geographically distributed various manufacturing resources authorized by different companies are encapsulated as different manufacturing services (MSs) supported by the enabling technologies, such as cloud computing, Industrial Internet of Things, virtualization technologies, etc. MSs are provided according to the demands of manufacturing tasks (MTs) presented by various customers via the IoT (Internet of Things) in CMfg paradigm. Generally, one MS may complete one MT, but mostly one MT needs more MSs to complete it cooperatively. Furthermore, these MSs are perhaps controlled and managed by different enterprises. As an autonomous entity, each MS generally makes decision in light of its own interests, and their own interests generally have conflicts with the others' and the collective ones. To solve the conflicts through MSs' cooperation is an efficient and low-cost method to maximize both individual and collective interests. Hence, the influences of individual decision-making behaviors on cooperation are explored and discussed in CMfg paradigm. The evolutionary game theory and agent-based modeling and simulating method are employed to model and simulate individual behaviors of MSs during the process of forming the coalition for completing MTs. In addition, the learning mechanism of MSs is discussed in the decision-making process. The simulation results show that decision behaviors of MSs are positively influenced by the information transparency of the CMfg environment and the learning mechanism of MSs effects on the cooperative emergence.",,2021,9,,10.1109/ACCESS.2021.3055587,http://dx.doi.org/10.1109/ACCESS.2021.3055587
"Thongsukdee, Phanumas; Weerawat, Waressara",Physician workforce planning and allocation model usingagent-basedmodeling: A case study in Thailand,INTERNATIONAL JOURNAL OF HEALTH PLANNING AND MANAGEMENT,"Objective To address the physician workforce challenges in Thailand using Agent-Based Modeling (ABM). Physician planning and allocating have been modeled with the life cycle framework starting from medical school intakes, residency training, and career retirement. Method This study proposes a systematic approach to physician planning and allocating which are modeled with a framework starting from medical school intakes, residency training, and career retirement. Results The ABM can estimate physician levels for provincial government hospitals (OPS-MOPH) and other sectors. The model can demonstrate any geographical imbalance issues at the provincial level under the existing rural recruitment program implementation. Based on the ABM simulation result, although person per physician ratios reached the target of 1800:1 at the national level in 2019, Bangkok is the only province that reached the target. For other provinces, the ratio of OPS-MOPH is far from the target. It will need 10 more years to reach the target, and a geographical imbalance will still exist. A solution of modified rural recruitment program with the limitation of hometown jobs has been proposed to reduce the geographical imbalance. With the proposed modified rural recruitment program, the model predicts that all provinces will reach the target in 2036.",NOV,2020,35,6,10.1002/hpm.3041,http://dx.doi.org/10.1002/hpm.3041
"Zheng, Yanqiao; Zhao, Xiaobing; Zhang, Xiaoqi; Ye, Xinyue; Dai, Qiwen",Mining the Hidden Link Structure from Distribution Flows for a Spatial Social Network,COMPLEXITY,"This study aims at developing a non-(semi-)parametric method to extract the hidden network structure from the {0,1}-valued distribution flow data with missing observations on the links between nodes. Such an input data type widely exists in the studies of information propagation process, such as the rumor spreading through social media. In that case, a social network does exist as the media of the spreading process, but its link structure is completely unobservable; therefore, it is important to make inference of the structure (links) of the hidden network. Unlike the previous studies on this topic which only consider abstract networks, we believe that apart from the link structure, different social-economic features and different geographic locations of nodes can also play critical roles in shaping the spreading process, which has to be taken into account. To uncover the hidden link structure and its dependence on the external social-economic features of the node set, a multidimensional spatial social network model is constructed in this study with the spatial dimension large enough to account for all influential social-economic factors. Based on the spatial network, we propose a nonparametric mean-field equation to govern the rumor spreading process and apply the likelihood estimator to make inference of the unknown link structure from the observed rumor distribution flows. Our method turns out easily extendible to cover the class of block networks that are useful in most real applications. The method is tested through simulated data and demonstrated on a data set of rumor spreading on Twitter.",,2019,,,10.1155/2019/6902027,http://dx.doi.org/10.1155/2019/6902027
"Andres Guzman, Ricardo; Drobny, Sammy; Rodriguez-Sickert, Carlos",The Ecosystems of Simple and Complex Societies: Social and Geographical Dynamics,JASSS-THE JOURNAL OF ARTIFICIAL SOCIETIES AND SOCIAL SIMULATION,"We present a spatial agent-based model of the emergence and proliferation of premodern complex societies in an isolated region initially inhabited by simple societies. At the intrasocietal level, the model integrates scalar stress, social fission, sociocultural evolution, societal collapse, and Malthusian-Ricardian demographic dynamics. At the geographical level, the model includes warfare for territory and captives, territorial division due to social conflict, and territorial disintegration due to collapse. We found that a single variable slow, continuous progress in intensive agriculture - drives the social and geographical dynamics. Consistent with the archaeological and historical record, the model produced three consecutive eras: During the first era, simple societies dominate the region. They use extensive food production methods. Small complex societies of intensive agriculturists emerge intermittently in the core land, where intensification is feasible. Shortly after, they collapse or are annihilated by local simple societies. During the second era, some complex societies avert early collapse and annihilation. They expand by conquest. At all times, they coexist with simple societies. Some complex societies are destroyed in war; others collapse. From time to time, complex societies collapse en masse. During the third era, there are no more mass collapses. Complex societies slowly expand until they dominate the core land. Simple societies take refuge in the marginal land, where intensification is infeasible. Simple and complex societies coexist, separated by a moving frontier. In an ebb and flow, complex societies expand to the marginal land and withdraw to the core land. The results of the simulations are qualitatively consistent with prehistorical and historical case studies. The model replicates the progression from simple to more complex societies, and explains why that progression happened in fits and starts.",31-Oct,2018,21,4,10.18564/jasss.3799,http://dx.doi.org/10.18564/jasss.3799
"Sneppen, Kim; Bornholdt, Stefan",Globalization in a nutshell,PHYSICAL REVIEW E,"The geographical distribution of production is getting an increased amount of attention in economics. Distributed trade opens for production where it is cheapest, which in turn is reinforced by economies of scale. Using a simple agent-based model for the geographical interplay between transportation costs, economies of scale, as well as information costs, we address here the transition between local and distributed economies. The model naturally recapitulates that decreased transportation and information costs favor large companies. This suggests history dependence in the sense that new companies typically reemerge in the vicinity of old ones. Further, it suggests that company stability depends on transport costs, and that the transition from a local economy to a global economy is naturally driven by reduced transportation costs and an increased information horizon.",29-Oct,2018,98,4,10.1103/PhysRevE.98.042314,http://dx.doi.org/10.1103/PhysRevE.98.042314
